n,seed,direction,target,layer,alpha,harmonic_mean,target_prob,perplexity,metric,result_dir
0,,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_n0
10,41,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n10_s41
10,42,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n10_s42
10,43,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n10_s43
15,41,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n15_s41
15,42,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n15_s42
15,43,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n15_s43
20,41,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n20_s41
20,42,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n20_s42
20,43,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n20_s43
30,41,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n30_s41
30,43,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n30_s43
5,41,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n5_s41
5,42,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n5_s42
5,43,negative,dog,,,,,,dog_prob,extract_vectors/results_neg_catdog_cat_minus_dog_val_n5_s43
0,,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_n0
10,41,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n10_s41
10,42,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n10_s42
10,43,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n10_s43
15,41,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n15_s41
15,42,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n15_s42
15,43,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n15_s43
20,41,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n20_s41
20,42,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n20_s42
20,43,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n20_s43
30,41,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n30_s41
30,42,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n30_s42
30,43,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n30_s43
40,43,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n40_s43
5,41,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n5_s41
5,42,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n5_s42
5,43,positive,cat,,,,,,cat_prob,extract_vectors/results_pos_catdog_cat_minus_dog_val_n5_s43
